File Name,ttc
000001,3.6
000002,3.6
000003,3.6
000004,3.6
000005,3.6
000006,3.6
000007,3.6
000008,3.6
000009,3.6
000010,3.6
000011,3.6
000012,3.6
000013,3.6
000014,3.6
000015,3.6
000016,3.6
000017,3.6
000018,3.6
000019,3.6
000020,3.6
000021,3.6
000022,3.6
000023,3.6
000024,3.6
000025,3.6
000026,3.6
000027,3.6
000028,3.6
000029,3.6
000030,3.6
000031,3.6
000032,3.6
000033,3.6
000034,3.6
000035,3.6
000036,3.6
000037,3.6
000038,3.6
000039,3.6
000040,3.6
000041,3.6
000042,3.6
000043,3.6
000044,3.6
000045,3.6
000046,3.6
000047,3.6
000048,3.6
000049,3.6
000050,3.6
000051,3.6
000052,3.6
000053,3.6
000054,3.6
000055,3.6
000056,3.6
000057,3.6
000058,3.6
000059,3.6
000060,3.6
000061,3.6
000062,3.6
000063,3.6
000064,3.6
000065,3.6
000066,3.6
000067,3.6
000068,3.6
000069,3.6
000070,3.6
000071,3.6
000072,3.6
000073,3.6
000074,3.6
000075,3.6
000076,3.6
000077,3.6
000078,3.6
000079,3.6
000080,3.6
000081,3.6
000082,3.6
000083,3.6
000084,3.6
000085,3.6
000086,3.6
000087,3.6
000088,3.6
000089,3.6
000090,3.6
000091,3.6
000092,3.6
000093,3.6
000094,3.6
000095,3.6
000096,3.6
000097,3.6
000098,3.6
000099,3.6
000100,3.6
000101,3.6
000102,3.6
000103,3.6
000104,3.6
000105,3.6
000106,3.6
000107,3.6
000108,3.6
000109,3.6
000110,3.6
000111,3.6
000112,3.6
000113,3.6
000114,3.6
000115,3.6
000116,3.6
000117,3.6
000118,3.6
000119,3.6
000120,3.6
000121,3.6
000122,3.6
000123,3.6
000124,3.6
000125,3.6
000126,3.6
000127,3.6
000128,3.6
000129,3.6
000130,3.6
000131,3.6
000132,3.6
000133,3.6
000134,3.6
000135,3.6
000136,3.6
000137,3.6
000138,3.6
000139,3.6
000140,3.6
000141,3.6
000142,3.6
000143,3.6
000144,3.6
000145,3.6
000146,3.6
000147,3.6
000148,3.6
000149,3.6
000150,3.6
000151,3.6
000152,3.6
000153,3.6
000154,3.6
000155,3.6
000156,3.6
000157,3.6
000158,3.6
000159,3.6
000160,3.6
000161,3.6
000162,3.6
000163,3.6
000164,3.6
000165,3.6
000166,3.6
000167,3.6
000168,3.6
000169,3.6
000170,3.6
000171,3.6
000172,3.6
000173,3.6
000174,3.6
000175,3.6
000176,3.6
000177,3.6
000178,3.6
000179,3.6
000180,3.6
000181,3.6
000182,3.6
000183,3.6
000184,3.6
000185,3.6
000186,3.6
000187,3.6
000188,3.6
000189,3.6
000190,3.6
000191,3.6
000192,3.6
000193,3.6
000194,3.6
000195,3.6
000196,3.6
000197,3.6
000198,3.6
000199,3.6
000200,3.6
000201,3.6
000202,3.6
000203,3.6
000204,3.6
000205,3.6
000206,3.6
000207,3.6
000208,3.6
000209,3.6
000210,3.6
000211,3.6
000212,3.6
000213,3.6
000214,3.6
000215,3.6
000216,3.6
000217,3.6
000218,3.6
000219,3.6
000220,3.6
000221,3.6
000222,3.6
000223,3.6
000224,3.6
000225,3.6
000226,3.6
000227,3.6
000228,3.6
000229,3.6
000230,3.6
000231,3.6
000232,3.6
000233,3.6
000234,3.6
000235,3.6
000236,3.6
000237,3.6
000238,3.6
000239,3.6
000240,3.6
000241,3.6
000242,3.6
000243,3.6
000244,3.6
000245,3.6
000246,3.6
000247,3.6
000248,3.6
000249,3.6
000250,3.6
000251,3.6
000252,3.6
000253,3.6
000254,3.6
000255,3.6
000256,3.6
000257,3.6
000258,3.6
000259,3.6
000260,3.6
000261,3.6
000262,3.6
000263,3.6
000264,3.6
000265,3.6
000266,3.6
000267,3.6
000268,3.6
000269,3.6
000270,3.6
000271,3.6
000272,3.6
000273,3.6
000274,3.6
000275,3.6
000276,3.6
000277,3.6
000278,3.6
000279,3.6
000280,3.6
000281,3.6
000282,3.6
000283,3.6
000284,3.6
000285,3.6
000286,3.6
000287,3.6
000288,3.6
000289,3.6
000290,3.6
000291,3.6
000292,3.6
000293,3.6
000294,3.6
000295,3.6
000296,3.6
000297,3.6
000298,3.6
000299,3.6
000300,3.6
000301,3.6
000302,3.6
000303,3.6
000304,3.6
000305,3.6
000306,3.6
000307,3.6
000308,3.6
000309,3.6
000310,3.6
000311,3.6
000312,3.6
000313,3.6
000314,3.6
000315,3.6
000316,3.6
000317,3.6
000318,3.6
000319,3.6
000320,3.6
000321,3.6
000322,3.6
000323,3.6
000324,3.6
000325,3.6
000326,3.6
000327,3.6
000328,3.6
000329,3.6
000330,3.6
000331,3.6
000332,3.6
000333,3.6
000334,3.6
000335,3.6
000336,3.6
000337,3.6
000338,3.6
000339,3.6
000340,3.6
000341,3.6
000342,3.6
000343,3.6
000344,3.6
000345,3.6
000346,3.6
000347,3.6
000348,3.6
000349,3.6
000350,3.6
000351,3.6
000352,3.6
000353,3.6
000354,3.6
000355,3.6
000356,3.6
000357,3.6
000358,3.6
000359,3.6
000360,3.6
000361,3.6
000362,3.6
000363,3.6
000364,3.6
000365,3.6
000366,3.6
000367,3.6
000368,3.6
000369,3.6
000370,3.6
000371,3.6
000372,3.6
000373,3.6
000374,3.6
000375,3.6
000376,3.6
000377,3.6
000378,3.6
000379,3.6
000380,3.6
000381,3.6
000382,3.6
000383,3.6
000384,3.6
000385,3.6
000386,3.6
000387,3.6
000388,3.6
000389,3.6
000390,3.6
000391,3.6
000392,3.6
000393,3.6
000394,3.6
000395,3.6
000396,3.6
000397,3.6
000398,3.6
000399,3.6
000400,3.6
000401,3.6
000402,3.6
000403,3.6
000404,3.6
000405,3.6
000406,3.6
000407,3.6
000408,3.6
000409,3.6
000410,3.6
000411,3.6
000412,3.6
000413,3.6
000414,3.6
000415,3.6
000416,3.6
000417,3.6
000418,3.6
000419,3.6
000420,3.6
000421,3.6
000422,3.6
000423,3.6
000424,3.6
000425,3.6
000426,3.6
000427,3.6
000428,3.6
000429,3.6
000430,3.6
000431,3.6
000432,3.6
000433,3.6
000434,3.6
000435,3.6
000436,3.6
000437,3.6
000438,3.6
000439,3.6
000440,3.6
000441,3.6
000442,3.6
000443,3.6
000444,3.6
000445,3.6
000446,3.6
000447,3.6
000448,3.6
000449,3.6
000450,3.6
000451,3.6
000452,3.6
000453,3.6
000454,3.6
000455,3.6
